country,region,year,birthrate,businesstaxrate,co2emissions,daystostartbusiness,easeofbusiness,energyusage,gdp,gdppercapita,healthexpgdp,healthexpcapita,hourstodotax,infantmortalityrate,internetusage,lendinginterest,lifeexpectancy,lifeexpectancyfemale,lifeexpectancymale,mobilephoneusage,numberofrecords,population0-14,population15-64,population65+,populationtotal,populationurban,tourisminbound,tourismoutbound
Greenland,The Americas,12/1/2004,0.02,,583,,,,$2B,"$28,904 ",,,,,0.56,,69,72,66,69%,1,,,,0.1M,82.60%,,
Uruguay,The Americas,12/1/2004,0.02,,5611,45,,2869,$14B,"$4,118 ",8.50%,$350 ,,0.013,0.17,0.237,76,79,72,18%,1,0.24,0.626,0.135,3.3M,93.10%,$1B,$0B
Jamaica,The Americas,12/1/2004,0.02,,10715,31,,3769,$10B,"$3,862 ",4.80%,$183 ,,0.018,0.10,0.181,71,74,68,69%,1,0.315,0.609,0.076,2.6M,52.60%,$2B,$0B
St. Martin (French part),The Americas,12/1/2004,0.02,,,,,,,,,,,,,,78,81,75,,1,,,,0.0M,,,
St. Vincent and the Grenadines,The Americas,12/1/2004,0.02,,194,,,66,$1B,"$4,813 ",3.70%,$179 ,,0.019,0.07,0.097,71,73,69,66%,1,0.29,0.638,0.072,0.1M,46.60%,$0B,$0B
St. Lucia,The Americas,12/1/2004,0.02,,356,,,120,$1B,"$5,251 ",6.30%,$330 ,,0.015,0.21,0.111,73,75,71,62%,1,0.292,0.636,0.072,0.2M,24.10%,$0B,$0B
Costa Rica,The Americas,12/1/2004,0.02,,6931,77,,3880,$19B,"$4,379 ",7.80%,$346 ,,0.009,0.21,0.234,79,81,76,22%,1,0.286,0.656,0.058,4.2M,64.40%,$2B,$0B
Grenada,The Americas,12/1/2004,0.02,,205,,,74,$1B,"$5,845 ",5.80%,$342 ,,0.013,0.20,0.102,72,74,69,42%,1,0.309,0.614,0.077,0.1M,36.00%,$0B,$0B
Suriname,The Americas,12/1/2004,0.02,,2292,,,664,$1B,"$3,008 ",6.90%,$207 ,,0.027,0.06,0.204,69,72,65,43%,1,0.3,0.64,0.06,0.5M,66.70%,$0B,$0B
El Salvador,The Americas,12/1/2004,0.02,,6366,115,,4382,$16B,"$2,611 ",7.30%,$191 ,,0.021,0.03,,71,75,66,30%,1,0.363,0.576,0.061,6.1M,61.10%,$1B,$0B
Guyana,The Americas,12/1/2004,0.02,,1628,46,,479,$1B,"$1,038 ",5.30%,$55 ,,0.036,,0.145,65,68,61,23%,1,0.363,0.598,0.039,0.8M,28.40%,$0B,$0B
Colombia,The Americas,12/1/2004,0.02,,55071,42,,26001,$117B,"$2,751 ",5.40%,$148 ,,0.019,0.09,0.151,72,76,68,25%,1,0.312,0.638,0.05,42.5M,73.30%,$1B,$1B
Peru,The Americas,12/1/2004,0.02,,31896,98,,12875,$66B,"$2,398 ",4.40%,$111 ,,0.023,0.14,0.247,72,75,69,15%,1,0.324,0.623,0.053,27.4M,74.60%,$1B,$1B
Venezuela,The Americas,12/1/2004,0.02,,168268,141,,56441,$112B,"$4,265 ",5.60%,$239 ,,0.016,0.08,0.185,73,76,70,32%,1,0.318,0.633,0.049,26.3M,88.50%,$1B,$2B
Mexico,The Americas,12/1/2004,0.02,,410744,58,,159324,$770B,"$7,040 ",6.00%,$441 ,,0.017,0.14,0.074,76,78,73,35%,1,0.327,0.621,0.052,109.4M,76.00%,$12B,$8B
Panama,The Americas,12/1/2004,0.02,,5805,18,,2613,$14B,"$4,292 ",8.10%,$347 ,,0.02,0.11,0.088,76,79,73,38%,1,0.31,0.63,0.06,3.3M,63.40%,$1B,$0B
Dominican Republic,The Americas,12/1/2004,0.02,,18786,77,,6528,$22B,"$2,407 ",5.10%,$120 ,,0.03,0.09,0.326,72,75,68,28%,1,0.334,0.61,0.056,9.2M,66.00%,$3B,$0B
Ecuador,The Americas,12/1/2004,0.02,,28658,92,,10278,$37B,"$2,705 ",6.60%,$178 ,,0.025,0.05,0.1,75,77,72,26%,1,0.33,0.615,0.055,13.5M,61.50%,$0B,$1B
Paraguay,The Americas,12/1/2004,0.03,,4089,74,,4002,$8B,"$1,387 ",5.90%,$82 ,,0.025,0.04,0.335,71,73,69,30%,1,0.363,0.59,0.047,5.8M,57.10%,$0B,$0B
Nicaragua,The Americas,12/1/2004,0.03,,4426,39,,2821,$6B,"$1,076 ",6.10%,$66 ,,0.027,0.02,0.135,72,75,69,14%,1,0.384,0.575,0.04,5.4M,55.70%,$0B,$0B
Haiti,The Americas,12/1/2004,0.03,,1988,202,,2288,$4B,$401 ,5.60%,$22 ,,0.067,0.05,0.48,59,61,57,4%,1,0.385,0.574,0.041,9.1M,42.40%,$0B,$0B
Honduras,The Americas,12/1/2004,0.03,,7367,62,,3853,$9B,"$1,297 ",7.90%,$103 ,,0.027,0.06,0.199,72,74,69,11%,1,0.404,0.555,0.041,6.8M,47.90%,$0B,$0B
Guatemala,The Americas,12/1/2004,0.04,,11621,39,,7785,$24B,"$1,938 ",6.40%,$124 ,,0.035,0.05,0.138,70,73,66,26%,1,0.434,0.524,0.043,12.4M,46.80%,$1B,$0B
Cayman Islands,The Americas,12/1/2005,,,513,,,,,,,,,,0.38,,,,,167%,1,,,,0.0M,100.00%,$0B,
Curacao,The Americas,12/1/2005,,,,,,,,,,,,,,,,,,,1,0.211,0.668,0.121,0.1M,90.50%,$0B,$0B
Sint Maarten (Dutch part),The Americas,12/1/2005,,,,,,,,,,,,,,,,,,,1,,,,0.0M,100.00%,$1B,$0B
Turks and Caicos Islands,The Americas,12/1/2005,,,121,,,,,,,,,,,,,,,,1,,,,0.0M,87.70%,,
Dominica,The Americas,12/1/2005,,37%,114,14,,41,$0B,"$5,126 ",5.00%,$255 ,147,0.012,0.39,0.099,,,,74%,1,,,,0.1M,66.60%,$0B,$0B
St. Kitts and Nevis,The Americas,12/1/2005,,52%,235,19,,79,$1B,"$10,916 ",3.60%,$389 ,172,0.011,0.34,0.1,,,,104%,1,,,,0.0M,32.00%,$0B,$0B
Cuba,The Americas,12/1/2005,0.01,,26006,,,10758,$43B,"$3,776 ",8.10%,$306 ,,0.005,0.10,,78,80,76,1%,1,0.195,0.696,0.11,11.3M,76.10%,$3B,
Canada,The Americas,12/1/2005,0.01,48%,563072,3,,272206,"$1,160B","$35,900 ",9.80%,"$3,452 ",119,0.005,0.72,0.044,81,83,78,53%,1,0.177,0.692,0.131,32.3M,80.10%,$16B,$23B
Aruba,The Americas,12/1/2005,0.01,,2274,,,,$2B,"$23,303 ",,,,,0.25,0.115,75,77,72,103%,1,0.215,0.699,0.086,0.1M,44.90%,$1B,$0B
Barbados,The Americas,12/1/2005,0.01,,1353,,,390,$4B,"$14,225 ",7.00%,$765 ,,0.015,0.53,0.092,74,76,72,75%,1,0.206,0.686,0.108,0.3M,32.90%,$1B,$0B
Puerto Rico,The Americas,12/1/2005,0.01,58%,,7,,,$84B,"$21,959 ",,,140,,0.23,,78,82,74,53%,1,0.222,0.657,0.122,3.8M,94.10%,$3B,$2B
Bermuda,The Americas,12/1/2005,0.01,,444,,,,$5B,"$75,882 ",,,,,0.65,,79,81,76,82%,1,,,,0.1M,100.00%,$0B,$0B
United States,The Americas,12/1/2005,0.01,46%,5826394,6,,2318861,"$13,100B","$44,329 ",15.80%,"$6,732 ",325,0.007,0.68,0.062,78,80,75,68%,1,0.205,0.671,0.123,295.5M,79.90%,$127B,
Trinidad and Tobago,The Americas,12/1/2005,0.02,37%,28581,43,,16880,$16B,"$12,405 ",5.30%,$648 ,210,0.024,0.29,0.091,69,73,65,71%,1,0.218,0.709,0.072,1.3M,9.90%,$1B,$0B
"Bahamas, The",The Americas,12/1/2005,0.02,,1599,,,696,$8B,"$23,417 ",6.00%,"$1,394 ",,0.013,0.25,0.055,74,77,71,69%,1,0.256,0.682,0.062,0.3M,82.30%,$2B,$1B
Uruguay,The Americas,12/1/2005,0.02,71%,5776,45,,2957,$17B,"$5,222 ",8.20%,$430 ,304,0.012,0.20,0.136,76,79,72,35%,1,0.238,0.627,0.135,3.3M,93.30%,$1B,$0B
Chile,The Americas,12/1/2005,0.02,25%,61730,27,,28352,$124B,"$7,590 ",6.60%,$497 ,316,0.008,0.31,0.067,78,81,75,65%,1,0.249,0.671,0.08,16.3M,87.40%,$2B,$1B
Greenland,The Americas,12/1/2005,0.02,,609,,,,$2B,"$29,903 ",,,,,0.58,,70,72,67,82%,1,,,,0.1M,82.90%,,
St. Lucia,The Americas,12/1/2005,0.02,36%,367,20,,123,$1B,"$5,493 ",6.30%,$348 ,71,0.015,0.22,0.106,73,75,71,64%,1,0.285,0.643,0.072,0.2M,23.10%,$0B,$0B
Costa Rica,The Americas,12/1/2005,0.02,55%,7088,77,,3865,$20B,"$4,621 ",7.70%,$364 ,402,0.009,0.22,0.247,79,81,76,26%,1,0.279,0.662,0.059,4.3M,65.70%,$2B,$1B
Brazil,The Americas,12/1/2005,0.02,69%,347309,152,,215332,$882B,"$4,738 ",8.20%,$387 ,"2,600",0.02,0.21,0.554,72,76,68,46%,1,0.276,0.663,0.062,186.1M,82.80%,$4B,$6B
Jamaica,The Americas,12/1/2005,0.02,50%,10645,8,,3717,$11B,"$4,190 ",4.10%,$170 ,414,0.018,0.13,0.174,72,74,69,74%,1,0.311,0.612,0.077,2.6M,52.80%,$2B,$0B
St. Vincent and the Grenadines,The Americas,12/1/2005,0.02,45%,198,12,,67,$1B,"$5,071 ",3.70%,$185 ,76,0.019,0.09,0.096,72,74,69,65%,1,0.285,0.643,0.072,0.1M,47.00%,$0B,$0B
Argentina,The Americas,12/1/2005,0.02,108%,160952,30,,66973,$223B,"$5,770 ",8.30%,$395 ,453,0.015,0.18,0.062,75,79,71,57%,1,0.263,0.634,0.102,38.6M,90.10%,$3B,$4B
St. Martin (French part),The Americas,12/1/2005,0.02,,,,,,,,,,,,,,78,81,75,,1,,,,0.0M,,,
Grenada,The Americas,12/1/2005,0.02,45%,216,20,,79,$1B,"$6,804 ",6.10%,$412 ,140,0.013,0.21,0.101,72,74,69,46%,1,0.3,0.623,0.077,0.1M,35.90%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2005,0.02,52%,411,31,,137,$1B,"$12,136 ",4.50%,$544 ,184,0.011,0.27,0.114,75,77,72,104%,1,0.283,0.644,0.073,0.1M,29.20%,$0B,$0B
Suriname,The Americas,12/1/2005,0.02,28%,2380,694,,696,$2B,"$3,591 ",6.80%,$243 ,199,0.026,0.06,0.174,69,72,66,47%,1,0.299,0.64,0.061,0.5M,66.70%,$0B,$0B
El Salvador,The Americas,12/1/2005,0.02,35%,6454,40,,4509,$17B,"$2,815 ",7.20%,$202 ,320,0.02,0.04,,71,75,66,40%,1,0.357,0.581,0.062,6.1M,61.60%,$1B,$0B
Colombia,The Americas,12/1/2005,0.02,84%,60946,42,,27085,$147B,"$3,404 ",5.80%,$197 ,456,0.018,0.11,0.146,73,76,69,51%,1,0.308,0.642,0.051,43.2M,73.60%,$2B,$2B
Guyana,The Americas,12/1/2005,0.02,39%,1434,42,,495,$1B,"$1,084 ",5.30%,$58 ,288,0.036,,0.145,65,68,62,37%,1,0.366,0.596,0.038,0.8M,28.30%,$0B,$0B
Peru,The Americas,12/1/2005,0.02,38%,37136,102,,13646,$74B,"$2,675 ",4.50%,$128 ,424,0.022,0.17,0.255,73,75,70,20%,1,0.32,0.626,0.054,27.7M,75.00%,$1B,$1B
Venezuela,The Americas,12/1/2005,0.02,50%,181630,141,,66558,$146B,"$5,463 ",5.40%,$296 ,864,0.016,0.13,0.168,73,76,70,47%,1,0.313,0.637,0.05,26.7M,88.60%,$1B,$2B
Mexico,The Americas,12/1/2005,0.02,56%,435046,58,,170263,$866B,"$7,821 ",5.90%,$478 ,552,0.017,0.17,0.097,76,78,73,43%,1,0.323,0.624,0.053,110.7M,76.30%,$13B,$9B
Panama,The Americas,12/1/2005,0.02,44%,6839,18,,2884,$15B,"$4,594 ",7.50%,$344 ,560,0.019,0.12,0.087,76,79,73,52%,1,0.307,0.632,0.061,3.4M,63.70%,$1B,$0B
Dominican Republic,The Americas,12/1/2005,0.02,36%,19651,74,,6840,$34B,"$3,636 ",5.30%,$188 ,232,0.029,0.12,0.241,72,75,69,39%,1,0.331,0.613,0.057,9.3M,67.40%,$4B,$1B
Ecuador,The Americas,12/1/2005,0.02,35%,29908,69,,11048,$42B,"$3,013 ",6.30%,$190 ,600,0.024,0.06,0.096,75,78,72,45%,1,0.327,0.617,0.056,13.8M,61.70%,$0B,$1B
Nicaragua,The Americas,12/1/2005,0.03,64%,4320,39,,2836,$6B,"$1,159 ",6.10%,$71 ,240,0.026,0.03,0.121,72,75,69,21%,1,0.378,0.581,0.041,5.5M,55.90%,$0B,$0B
Paraguay,The Americas,12/1/2005,0.03,55%,3832,74,,3954,$9B,"$1,479 ",5.60%,$82 ,328,0.024,0.08,0.299,71,73,69,32%,1,0.358,0.594,0.048,5.9M,57.40%,$0B,$0B
Belize,The Americas,12/1/2005,0.03,35%,396,45,,161,$1B,"$4,098 ",4.40%,$182 ,147,0.018,0.09,0.143,72,75,69,35%,1,0.379,0.58,0.041,0.3M,46.30%,$0B,$0B
Haiti,The Americas,12/1/2005,0.03,40%,2076,202,,2585,$4B,$449 ,4.40%,$20 ,184,0.066,0.06,0.41,60,61,58,5%,1,0.381,0.578,0.042,9.3M,44.10%,$0B,$0B
Bolivia,The Americas,12/1/2005,0.03,80%,12325,50,,5183,$10B,"$1,021 ",5.60%,$57 ,"1,080",0.044,0.05,0.166,65,67,63,26%,1,0.383,0.573,0.044,9.4M,64.20%,$0B,$0B
Honduras,The Americas,12/1/2005,0.03,44%,7554,62,,3997,$10B,"$1,402 ",7.70%,$109 ,424,0.026,0.07,0.188,72,74,69,19%,1,0.398,0.56,0.041,6.9M,48.50%,$0B,$0B
Guatemala,The Americas,12/1/2005,0.04,39%,12453,39,,7855,$27B,"$2,146 ",6.50%,$138 ,344,0.033,0.06,0.13,70,73,66,36%,1,0.432,0.526,0.043,12.7M,47.20%,$1B,$1B
Cayman Islands,The Americas,12/1/2006,,,517,,,,,,,,,,0.45,,,,,185%,1,,,,0.1M,100.00%,$1B,$0B
Sint Maarten (Dutch part),The Americas,12/1/2006,,,,,,,,,,,,,,,,,,,1,,,,0.0M,100.00%,$1B,$0B
Turks and Caicos Islands,The Americas,12/1/2006,,,143,,,,,,,,,,,,,,,,1,,,,0.0M,88.30%,,
St. Kitts and Nevis,The Americas,12/1/2006,,52%,235,19,,79,$1B,"$12,635 ",4.00%,$517 ,172,0.01,0.49,0.093,,,,102%,1,,,,0.0M,32.00%,$0B,$0B
Cuba,The Americas,12/1/2006,0.01,,27407,,,10847,$53B,"$4,667 ",7.70%,$360 ,,0.005,0.11,,78,80,76,1%,1,0.19,0.698,0.112,11.3M,76.20%,$2B,
Canada,The Americas,12/1/2006,0.01,45%,550233,3,,268302,"$1,310B","$40,220 ",10.00%,"$3,904 ",119,0.005,0.72,0.058,81,83,78,58%,1,0.174,0.694,0.133,32.6M,80.20%,$17B,$26B
Aruba,The Americas,12/1/2006,0.01,,2274,,,,$2B,"$24,015 ",,,,,0.28,0.113,75,77,72,108%,1,0.213,0.698,0.089,0.1M,44.50%,$1B,$0B
Puerto Rico,The Americas,12/1/2006,0.01,58%,,7,,,$87B,"$22,936 ",,,140,,0.25,,79,83,74,59%,1,0.219,0.658,0.123,3.8M,94.10%,$3B,$2B
Barbados,The Americas,12/1/2006,0.01,,1371,,,398,$4B,"$15,692 ",7.10%,$826 ,,0.014,0.55,0.103,75,77,72,86%,1,0.203,0.69,0.107,0.3M,32.80%,$1B,$0B
Bermuda,The Americas,12/1/2006,0.01,,521,,,,$5B,"$83,913 ",,,,,0.70,,79,82,76,93%,1,,,,0.1M,100.00%,$0B,$0B
Curacao,The Americas,12/1/2006,0.01,,,,,,,,,,,,,,75,79,71,,1,0.206,0.67,0.124,0.1M,90.40%,$0B,$0B
United States,The Americas,12/1/2006,0.01,47%,5737616,6,,2296686,"$13,900B","$46,585 ",15.90%,"$7,110 ",325,0.007,0.69,0.08,78,80,75,76%,1,0.204,0.672,0.124,298.4M,80.10%,$133B,
Dominica,The Americas,12/1/2006,0.02,37%,110,14,,42,$0B,"$5,408 ",5.00%,$271 ,147,0.012,0.39,0.095,,,,101%,1,,,,0.1M,66.90%,$0B,$0B
Trinidad and Tobago,The Americas,12/1/2006,0.02,37%,32152,43,,19585,$18B,"$14,163 ",4.40%,$625 ,210,0.023,0.30,0.109,70,73,66,117%,1,0.214,0.712,0.074,1.3M,9.70%,$1B,$0B
Greenland,The Americas,12/1/2006,0.02,,627,,,,$2B,"$30,620 ",,,,,0.59,,70,72,67,95%,1,,,,0.1M,83.20%,,
"Bahamas, The",The Americas,12/1/2006,0.02,,1522,,,706,$8B,"$23,734 ",6.90%,"$1,645 ",,0.012,0.26,0.055,74,77,71,75%,1,0.249,0.688,0.064,0.3M,82.30%,$2B,$1B
Uruguay,The Americas,12/1/2006,0.02,71%,6648,43,,3183,$20B,"$5,879 ",8.30%,$491 ,304,0.012,0.29,0.093,76,80,72,70%,1,0.235,0.628,0.136,3.3M,93.60%,$1B,$0B
Chile,The Americas,12/1/2006,0.02,25%,64393,27,,29507,$155B,"$9,391 ",6.20%,$587 ,316,0.008,0.35,0.08,78,81,75,75%,1,0.243,0.675,0.082,16.5M,87.70%,$2B,$2B
Jamaica,The Americas,12/1/2006,0.02,50%,12020,8,,4176,$12B,"$4,487 ",4.20%,$187 ,414,0.018,0.16,0.176,72,75,69,84%,1,0.308,0.615,0.077,2.7M,53.00%,$2B,$0B
Brazil,The Americas,12/1/2006,0.02,69%,347668,149,,222818,"$1,090B","$5,794 ",8.50%,$491 ,"2,600",0.019,0.28,0.508,72,76,68,53%,1,0.272,0.665,0.063,188.1M,83.10%,$5B,$8B
St. Lucia,The Americas,12/1/2006,0.02,34%,367,20,,119,$1B,"$6,072 ",6.50%,$393 ,71,0.015,0.25,0.108,74,76,71,63%,1,0.277,0.649,0.074,0.2M,22.10%,$0B,$0B
Costa Rica,The Americas,12/1/2006,0.02,55%,7437,77,,4182,$23B,"$5,128 ",7.80%,$410 ,402,0.009,0.25,0.222,79,81,76,33%,1,0.272,0.668,0.06,4.4M,66.90%,$2B,$1B
St. Vincent and the Grenadines,The Americas,12/1/2006,0.02,45%,202,12,,70,$1B,"$5,611 ",3.90%,$218 ,76,0.019,0.12,0.097,72,74,69,81%,1,0.281,0.648,0.071,0.1M,47.40%,$0B,$0B
Argentina,The Americas,12/1/2006,0.02,108%,174238,30,,73128,$264B,"$6,771 ",8.30%,$454 ,453,0.015,0.21,0.086,75,79,71,81%,1,0.26,0.637,0.103,39.0M,90.30%,$4B,$4B
Antigua and Barbuda,The Americas,12/1/2006,0.02,48%,425,21,,143,$1B,"$13,675 ",4.50%,$607 ,184,0.01,0.30,0.109,75,77,72,132%,1,0.28,0.647,0.073,0.1M,28.60%,$0B,$0B
St. Martin (French part),The Americas,12/1/2006,0.02,,,,,,,,,,,,,,78,81,75,,1,,,,0.0M,,,
Grenada,The Americas,12/1/2006,0.02,45%,231,20,,81,$1B,"$6,825 ",6.40%,$435 ,140,0.013,0.21,0.099,72,74,69,45%,1,0.293,0.631,0.076,0.1M,35.90%,$0B,$0B
Suriname,The Americas,12/1/2006,0.02,28%,2442,694,,714,$3B,"$5,198 ",6.20%,$323 ,199,0.025,0.10,0.156,70,73,66,63%,1,0.297,0.641,0.062,0.5M,66.60%,$0B,$0B
El Salvador,The Americas,12/1/2006,0.02,35%,6846,26,,4735,$19B,"$3,043 ",6.70%,$203 ,320,0.019,0.06,,71,76,66,63%,1,0.35,0.586,0.064,6.1M,62.20%,$1B,$0B
Colombia,The Americas,12/1/2006,0.02,84%,62940,43,,28568,$163B,"$3,718 ",6.10%,$227 ,456,0.018,0.15,0.129,73,76,69,68%,1,0.304,0.645,0.052,43.8M,73.90%,$2B,$2B
Mexico,The Americas,12/1/2006,0.02,53%,441796,25,,172307,$967B,"$8,625 ",5.70%,$515 ,560,0.016,0.20,0.075,76,78,73,49%,1,0.319,0.627,0.054,112.1M,76.60%,$13B,$9B
Guyana,The Americas,12/1/2006,0.02,39%,1291,41,,500,$1B,"$1,906 ",4.10%,$79 ,288,0.035,,0.145,65,68,62,52%,1,0.369,0.594,0.037,0.8M,28.30%,$0B,$0B
Peru,The Americas,12/1/2006,0.02,38%,35064,72,,13248,$88B,"$3,124 ",4.50%,$149 ,424,0.02,0.21,0.239,73,75,70,33%,1,0.316,0.629,0.055,28.0M,75.40%,$2B,$1B
Venezuela,The Americas,12/1/2006,0.02,50%,171825,141,,63705,$183B,"$6,730 ",5.70%,$387 ,864,0.015,0.15,0.155,74,76,71,69%,1,0.309,0.64,0.051,27.2M,88.60%,$1B,$2B
Panama,The Americas,12/1/2006,0.02,44%,7371,18,,3093,$17B,"$4,998 ",7.00%,$350 ,560,0.019,0.17,0.084,76,79,73,63%,1,0.305,0.633,0.062,3.4M,64.00%,$1B,$0B
Dominican Republic,The Americas,12/1/2006,0.02,36%,20693,72,,7068,$36B,"$3,794 ",5.20%,$197 ,286,0.028,0.15,0.195,72,75,69,49%,1,0.327,0.616,0.057,9.5M,68.70%,$4B,$0B
Ecuador,The Americas,12/1/2006,0.02,35%,29688,65,,10255,$47B,"$3,337 ",6.50%,$216 ,600,0.023,0.07,0.098,75,78,72,61%,1,0.323,0.62,0.057,14.0M,61.90%,$0B,$1B
Paraguay,The Americas,12/1/2006,0.03,45%,3986,74,,4076,$11B,"$1,773 ",5.70%,$101 ,328,0.023,0.08,0.301,72,74,69,54%,1,0.353,0.598,0.048,6.0M,57.60%,$0B,$0B
Nicaragua,The Americas,12/1/2006,0.03,64%,4466,39,,2824,$7B,"$1,228 ",6.30%,$78 ,240,0.025,0.03,0.116,72,75,69,33%,1,0.371,0.587,0.042,5.5M,56.20%,$0B,$0B
Belize,The Americas,12/1/2006,0.03,35%,407,45,,172,$1B,"$4,364 ",4.40%,$192 ,147,0.018,0.10,0.142,72,75,69,42%,1,0.374,0.585,0.04,0.3M,46.00%,$0B,$0B
Haiti,The Americas,12/1/2006,0.03,40%,2112,202,,2645,$5B,$520 ,5.70%,$30 ,184,0.064,0.07,0.264,60,62,58,13%,1,0.377,0.581,0.042,9.4M,45.80%,$0B,$0B
Bolivia,The Americas,12/1/2006,0.03,80%,14910,50,,6439,$11B,"$1,203 ",4.80%,$58 ,"1,080",0.042,0.06,0.119,65,67,63,30%,1,0.379,0.576,0.045,9.5M,64.70%,$0B,$0B
Honduras,The Americas,12/1/2006,0.03,44%,7008,44,,3993,$11B,"$1,541 ",7.60%,$118 ,424,0.025,0.08,0.174,72,74,69,32%,1,0.392,0.566,0.042,7.0M,49.20%,$1B,$0B
Guatemala,The Americas,12/1/2006,0.03,39%,12526,30,,7940,$30B,"$2,326 ",7.30%,$171 ,344,0.032,0.07,0.128,70,73,66,55%,1,0.429,0.528,0.043,13.0M,47.60%,$1B,$1B
Turks and Caicos Islands,The Americas,12/1/2007,,,158,,,,,,,,,,,,,,,,1,,,,0.0M,88.80%,,
Dominica,The Americas,12/1/2007,,37%,150,14,,43,$0B,"$5,828 ",5.10%,$298 ,147,0.012,0.40,0.092,,,,126%,1,,,,0.1M,67.20%,$0B,$0B
St. Kitts and Nevis,The Americas,12/1/2007,,52%,249,19,,83,$1B,"$13,552 ",4.10%,$551 ,172,0.01,0.52,0.093,,,,128%,1,,,,0.1M,31.90%,$0B,$0B
Sint Maarten (Dutch part),The Americas,12/1/2007,,,,,,,,,,,,,,,75,77,72,,1,,,,0.0M,100.00%,$1B,$0B
Cuba,The Americas,12/1/2007,0.01,,26736,,,10137,$59B,"$5,185 ",10.40%,$587 ,,0.005,0.12,,78,80,76,2%,1,0.186,0.699,0.115,11.3M,76.30%,$2B,
Canada,The Americas,12/1/2007,0.01,44%,560802,3,,271728,"$1,460B","$44,393 ",10.00%,"$4,330 ",119,0.005,0.73,0.061,81,83,78,62%,1,0.171,0.695,0.134,32.9M,80.40%,$18B,$31B
Aruba,The Americas,12/1/2007,0.01,,2358,,,,$3B,"$25,921 ",,,,,0.31,0.11,75,77,72,112%,1,0.212,0.696,0.092,0.1M,44.10%,$1B,$0B
Puerto Rico,The Americas,12/1/2007,0.01,58%,,7,,,$90B,"$23,665 ",,,140,,0.28,,79,83,74,65%,1,0.215,0.66,0.125,3.8M,94.00%,$3B,$2B
Barbados,The Americas,12/1/2007,0.01,,1426,,,401,$5B,"$16,336 ",7.50%,$928 ,,0.014,0.58,0.108,75,77,72,93%,1,0.2,0.694,0.106,0.3M,32.60%,$1B,$0B
Curacao,The Americas,12/1/2007,0.01,,,,,,,,,,,,,,76,79,72,,1,0.203,0.671,0.126,0.1M,90.30%,$0B,$0B
Bermuda,The Americas,12/1/2007,0.01,,517,,,,$6B,"$90,850 ",,,,,0.74,,79,82,76,107%,1,,,,0.1M,100.00%,$1B,$0B
Cayman Islands,The Americas,12/1/2007,0.01,,612,,,,,,,,,,0.52,,,,,197%,1,,,,0.1M,100.00%,$0B,$0B
United States,The Americas,12/1/2007,0.01,46%,5828697,6,,2337014,"$14,500B","$48,136 ",16.10%,"$7,486 ",325,0.007,0.75,0.081,78,80,75,82%,1,0.202,0.673,0.125,301.2M,80.30%,$149B,
Trinidad and Tobago,The Americas,12/1/2007,0.02,33%,46461,43,,20331,$22B,"$16,664 ",4.80%,$790 ,210,0.023,0.32,0.118,70,73,66,115%,1,0.211,0.713,0.076,1.3M,9.60%,$1B,$0B
Greenland,The Americas,12/1/2007,0.02,,616,,,,$2B,"$37,517 ",,,,,0.61,,70,72,68,117%,1,,,,0.1M,83.50%,,
"Bahamas, The",The Americas,12/1/2007,0.02,45%,1547,31,,709,$8B,"$24,321 ",7.10%,"$1,721 ",58,0.012,0.27,0.055,74,77,71,109%,1,0.242,0.693,0.065,0.3M,82.40%,$2B,$1B
Uruguay,The Americas,12/1/2007,0.02,71%,5999,44,,3172,$23B,"$7,013 ",8.00%,$560 ,304,0.012,0.34,0.089,77,80,73,90%,1,0.233,0.63,0.137,3.3M,93.80%,$1B,$0B
Chile,The Americas,12/1/2007,0.02,25%,71154,27,,30565,$173B,"$10,379 ",6.40%,$665 ,316,0.008,0.36,0.087,79,82,76,84%,1,0.237,0.678,0.085,16.7M,87.90%,$2B,$2B
Jamaica,The Americas,12/1/2007,0.02,50%,13480,8,,4200,$13B,"$4,815 ",4.90%,$230 ,414,0.017,0.21,0.172,72,75,69,99%,1,0.304,0.618,0.077,2.7M,53.20%,$2B,$0B
Brazil,The Americas,12/1/2007,0.02,69%,363213,149,,235460,"$1,370B","$7,211 ",8.50%,$609 ,"2,600",0.018,0.31,0.437,73,76,69,64%,1,0.268,0.668,0.064,190.0M,83.40%,$5B,$10B
St. Lucia,The Americas,12/1/2007,0.02,34%,385,20,,128,$1B,"$6,733 ",6.80%,$452 ,71,0.014,0.28,0.101,74,76,71,86%,1,0.27,0.653,0.077,0.2M,21.10%,$0B,$0B
Argentina,The Americas,12/1/2007,0.02,108%,180416,30,,73673,$330B,"$8,390 ",8.20%,$548 ,453,0.014,0.26,0.111,75,79,71,103%,1,0.257,0.639,0.104,39.3M,90.40%,$5B,$5B
St. Martin (French part),The Americas,12/1/2007,0.02,,,,,,,,,,,,,,79,82,75,,1,,,,0.0M,,,
Costa Rica,The Americas,12/1/2007,0.02,55%,8573,77,,4508,$26B,"$5,898 ",8.40%,$525 ,402,0.009,0.28,0.128,79,81,76,34%,1,0.266,0.673,0.061,4.5M,68.20%,$2B,$1B
St. Vincent and the Grenadines,The Americas,12/1/2007,0.02,45%,202,12,,70,$1B,"$6,273 ",3.90%,$246 ,76,0.019,0.16,0.096,72,74,70,101%,1,0.276,0.653,0.07,0.1M,47.70%,$0B,$0B
